#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-11-07T21:53:24 [V7.4.1]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-11-07T21:53:24	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=1000&-order=I&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out.src=VII/92A/catalog&-source=VII/92A/catalog&-out=RA1950&-out=DE1950&-out=Diam&-out=Dist&-out=log.Age&-out=[Fe/H]&-out=E(B-V)&-out=Cname&-out=_RA.icrs&-out=_DE.icrs&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.1	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7092
#Name: VII/92A
#Title: Open Cluster Data 5th Edition (Lynga 1987)
#INFO	ivoid=ivo://cds.vizier/vii/92a	    IVOID of underlying data collection
#INFO	creator=LYNGA G.: 1987	    First author or institution
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/92A	    Dataset landing page
#INFO	publication_date=2018-01-12	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	B1950:	eq_FK4 B1950
#Table	VII_92A_catalog:
#Name: VII/92A/catalog
#Title: The Catalogue Data File
#Column	RA1950	(A7)	Right Ascension 1950	[ucd=pos.eq.ra]
#Column	DE1950	(A6)	Declination 1950	[ucd=pos.eq.dec]
#Column	Diam	(F6.1)	? Selected Angular diameter	[ucd=phys.angSize]
#Column	Dist	(I4)	? Distance	[ucd=pos.distance]
#Column	log.Age	(F5.2)	[6/10]? log(age), years	[ucd=arith.zp]
#Column	[Fe/H]	(F5.2)	[-.8/.3]? Metallicity, logarithmic scale	[ucd=instr.scale]
#Column	E(B-V)	(F6.2)	[0/2]? Reddening	[ucd=phot.color.excess]
#Column	Cname	(A9)	[C0-9+-] Cluster "C" designation (4)	[ucd=meta.id;meta.main]
#Column	_RA.icrs	(A10)	Right ascension (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A9)	Declination (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
RA1950	DE1950	Diam	Dist	log.Age	[Fe/H]	E(B-V)	Cname	_RA.icrs	_DE.icrs
06 39.1	-29 29	   6.0	    	     	     	      	C0639-295	06 41 02.5	-29 31 54
06 40.2	-29 23	   2.8	    	     	     	      	C0640-294	06 42 08.7	-29 25 59
06 40.1	+27 01	   6.0	3400	     	     	      	C0640+270	06 43 13.2	+26 57 59
06 40.6	+00 03	  12.0	    	     	     	      	C0640+000	06 43 09.8	-00 00 02
06 41.3	+04 37	   4.0	1400	 8.10	     	  0.42	C0641+046	06 43 57.0	+04 33 55
06 41.6	+01 39	  18.0	    	     	     	      	C0641+016	06 44 11.6	+01 35 54
06 42.5	+00 21	  23.0	5200	 6.00	     	  0.78	C0642+003	06 45 04.1	+00 17 50
06 43.9	+01 49	   7.0	    	     	     	      	C0643+018	06 46 29.8	+01 45 44
06 44.9	-20 40	  38.0	 740	 8.00	 0.09	  0.00	C0644-206	06 47 03.0	-20 43 20
06 45.1	-03 06	  14.0	1300	 8.50	     	  0.39	C0645-031	06 47 36.2	-03 09 21
06 46.5	-10 28	   5.0	    	     	     	      	C0646-104	06 48 51.6	-10 31 27
06 45.8	+41 07	  14.0	 500	 8.48	-0.04	  0.08	C0645+411	06 49 18.7	+41 03 34
06 47.2	-23 53	   4.0	    	     	     	      	C0647-239	06 49 16.8	-23 56 29
06 47.6	+05 49	   4.0	    	     	     	      	C0647+058	06 50 16.4	+05 45 28
06 48.6	+05 50	   3.0	8000	     	     	      	C0648+058	06 51 16.4	+05 46 23
06 49.2	+00 32	  12.0	 750	 8.03	 0.04	  0.04	C0649+005	06 51 46.3	+00 28 21
06 49.5	-06 59	   2.5	1100	 7.80	     	  0.24	C0649-070	06 51 55.7	-07 02 40
06 49.6	+03 00	   4.0	5000	     	     	      	C0649+030	06 52 13.1	+02 56 19
06 50.1	-23 33	   5.0	    	     	     	      	C0650-235	06 52 11.3	-23 36 42
06 50.4	+16 59	   4.0	    	     	     	      	C0650+169	06 53 17.6	+16 55 15
06 52.1	-24 33	  49.0	1170	 6.18	     	  0.01	C0652-245	06 54 10.0	-24 36 50
06 53.2	-18 39	   2.0	    	     	     	      	C0653-186	06 55 23.8	-18 42 55
06 53.7	-13 12	   2.0	    	     	     	      	C0653-132	06 56 00.5	-13 15 58
06 53.8	-07 07	   3.0	    	     	     	      	C0653-071	06 56 13.6	-07 10 58
06 54.9	+08 20	   5.0	4000	     	     	      	C0654+083	06 57 37.2	+08 15 56
06 55.4	-13 08	   4.0	    	     	     	      	C0655-131	06 57 42.6	-13 12 05
06 55.3	-04 30	   6.0	    	     	     	      	C0655-045	06 57 46.6	-04 34 05
06 55.1	+03 17	   4.0	    	     	     	      	C0655+032	06 57 43.4	+03 12 56
06 55.4	+06 30	   5.0	9000	     	     	      	C0655+065	06 58 05.1	+06 25 54
06 58.2	-20 23	   5.0	    	     	     	      	C0658-204	07 00 21.7	-20 27 16
06 57.8	-00 11	   5.0	    	     	     	      	C0657-001	07 00 21.5	-00 15 15
06 59.4	-13 30	   4.0	    	     	     	      	C0659-135	07 01 42.2	-13 34 22
07 00.8	-08 15	  16.0	 910	 7.89	     	  0.30	C0700-082	07 03 12.4	-08 19 28
07 00.5	+06 29	   5.0	    	     	     	      	C0700+064	07 03 11.0	+06 24 33
07 01.2	-20 46	   3.0	    	     	     	      	C0701-207	07 03 21.3	-20 50 29
07 01.6	-06 02	   2.7	    	     	     	      	C0701-060	07 04 02.9	-06 06 31
07 01.6	+01 08	   7.0	2900	 8.82	-0.13	  0.05	C0701+011	07 04 11.0	+01 03 28
07 03.9	-28 21	   2.5	    	     	     	      	C0703-283	07 05 53.1	-28 25 40
07 03.9	-14 53	   2.4	    	     	     	      	C0703-149	07 06 10.6	-14 57 41
07 04.2	-20 01	   4.5	    	     	     	      	C0704-200	07 06 22.3	-20 05 42
07 04.1	-11 31	   6.0	    	     	     	      	C0704-115	07 06 26.6	-11 35 42
07 04.2	-09 59	  12.0	1000	 8.20	 0.20	  0.38	C0704-100	07 06 34.4	-10 03 42
05 58.0	+23 18	   6.0	2000	 7.21	     	  0.65	C0558+233	06 01 02.5	+23 18 02
07 04.1	+27 26	  18.0	    	     	     	      	C0704+274	07 07 12.9	+27 21 17
07 04.9	-10 43	   4.0	    	     	     	      	C0704-107	07 07 15.6	-10 47 45
07 05.2	-28 07	   5.0	    	     	     	      	C0705-281	07 07 11.5	-28 11 45
07 05.2	-20 42	   2.9	    	     	     	      	C0705-207	07 07 21.5	-20 46 46
07 05.8	-25 46	   4.2	    	     	     	      	C0705-257	07 07 50.8	-25 50 48
07 05.9	-10 33	   6.0	1000	 8.00	-0.20	  0.19	C0705-105	07 08 15.8	-10 37 49
07 06.0	-13 04	  12.0	1800	 7.90	     	  0.58	C0706-130	07 08 18.8	-13 08 49
07 07.2	-16 51	  11.0	    	     	     	      	C0707-168	07 09 26.3	-16 55 54
20 05.0	+38 12	  13.0	2100	     	     	  0.63	C2005+382	20 06 48.8	+38 20 43
07 08.2	+02 49	   7.0	    	     	     	      	C0708+028	07 10 48.8	+02 44 01
07 12.2	-25 38	  20.0	1850	 8.26	     	  0.13	C0712-256	07 14 15.2	-25 43 15
07 12.5	-31 04	  95.0	    	 7.40	     	      	C0712-310	07 14 25.5	-31 09 16
07 12.2	-10 12	  20.0	1100	 7.10	     	  0.09	C0712-102	07 14 34.3	-10 17 15
07 13.1	-31 15	   2.3	    	     	     	      	C0713-312	07 15 01.2	-31 20 18
07 13.8	-13 00	   5.0	    	     	     	      	C0713-130	07 16 07.1	-13 05 22
07 14.1	+13 52	   9.0	    	     	     	      	C0714+138	07 16 55.3	+13 46 36
07 15.2	-36 44	  49.0	    	     	     	      	C0715-367	07 16 58.5	-36 49 27
07 15.5	-15 31	  12.0	1630	 9.11	-0.13	  0.06	C0715-155	07 17 46.2	-15 36 29
07 16.0	-22 33	   5.0	    	     	     	      	C0716-225	07 18 07.5	-22 38 31
07 16.7	-24 50	   8.0	1550	 7.40	     	  0.11	C0716-248	07 18 46.5	-24 55 33
07 17.5	-19 33	   1.7	    	     	     	      	C0717-195	07 19 41.3	-19 38 37
07 17.8	-13 01	   4.0	1100	 8.90	     	  0.00	C0717-130	07 20 07.1	-13 06 38
07 18.0	-21 49	   3.5	2000	 6.00	     	  0.33	C0718-218	07 20 08.5	-21 54 39
07 17.9	-01 00	   7.0	    	     	     	      	C0717-010	07 20 26.6	-01 05 39
07 18.6	-10 16	   5.0	    	     	     	      	C0718-102	07 20 58.3	-10 21 42
07 19.1	-03 13	   6.0	    	     	     	      	C0719-032	07 21 36.2	-03 18 44
07 19.3	-00 53	   4.0	    	     	     	      	C0719-008	07 21 50.7	-00 58 45
07 21.2	-29 23	   2.9	    	     	     	      	C0721-294	07 23 10.4	-29 28 52
07 21.0	-19 20	  11.0	    	     	     	      	C0721-193	07 23 11.7	-19 25 51
07 21.1	-12 13	   4.2	1700	 8.70	     	  0.00	C0721-122	07 23 26.1	-12 18 52
07 21.5	-23 06	   5.0	    	     	     	      	C0721-231	07 23 37.0	-23 11 53
07 22.0	-32 05	  42.0	 300	 7.35	 0.05	  0.00	C0722-321	07 23 54.5	-32 10 55
07 21.7	-13 09	  19.0	1300	 8.50	     	  0.00	C0721-131	07 24 01.1	-13 14 55
07 21.8	+05 27	   7.0	    	     	     	      	C0721+054	07 24 27.6	+05 21 04
07 22.3	-16 53	   2.1	    	     	     	      	C0722-169	07 24 32.7	-16 58 57
07 22.7	-26 06	   4.0	    	 8.10	 0.00	      	C0722-261	07 24 45.1	-26 11 58
07 22.6	-20 49	   5.0	2000	 7.40	     	  0.26	C0722-208	07 24 45.9	-20 54 58
07 22.9	-20 55	   2.5	2000	 6.00	     	  0.30	C0722-209	07 25 03.8	-21 00 59
07 23.5	-21 24	   8.0	    	     	     	      	C0723-214	07 25 39.3	-21 30 02
07 24.0	-24 11	   6.0	    	     	     	      	C0724-242	07 26 05.7	-24 17 03
07 24.9	-47 37	  10.0	3950	 9.78	-0.36	  0.16	C0724-476	07 26 19.4	-47 43 06
07 24.7	-28 46	  10.0	    	 8.50	     	      	C0724-287	07 26 41.5	-28 52 06
07 24.3	+13 41	  12.0	1200	 7.70	     	  0.69	C0724+136	07 27 06.8	+13 34 54
07 25.2	-31 04	  11.0	    	     	     	      	C0725-310	07 27 08.2	-31 10 08
07 25.2	-23 55	   5.0	1600	 7.40	     	  0.28	C0725-239	07 27 18.1	-24 01 08
07 26.0	-15 17	   7.0	    	 7.80	     	      	C0726-153	07 28 16.7	-15 23 12
07 26.3	-15 16	   1.6	    	 6.80	     	      	C0726-152	07 28 34.8	-15 22 13
07 25.8	-11 37	  10.0	    	     	     	      	C0725-116	07 28 08.9	-11 43 11
07 27.2	-29 06	   2.8	    	     	     	      	C0727-291	07 29 11.2	-29 12 16
07 27.1	-13 51	   2.0	    	     	     	      	C0727-138	07 29 24.4	-13 57 16
07 27.3	+12 00	  23.0	    	     	     	      	C0727+120	07 30 04.8	+11 53 42
07 28.3	-23 12	   3.0	    	     	     	      	C0728-232	07 30 25.2	-23 18 21
07 28.9	-09 51	   3.0	    	     	     	      	C0728-098	07 31 17.0	-09 57 24
07 29.6	-12 38	   2.0	    	     	     	      	C0729-126	07 31 55.9	-12 44 27
07 43.4	-32 39	   3.5	2500	 6.80	     	  1.12	C0743-326	07 45 19.2	-32 46 21
07 31.0	-15 19	   4.0	2500	 6.80	     	  0.53	C0731-153	07 33 16.8	-15 25 32
07 53.9	-27 47	  10.0	2900	 7.00	     	  0.40	C0753-278	07 55 56.8	-27 55 02
07 33.4	-27 36	   4.4	    	     	     	      	C0733-276	07 35 25.7	-27 42 41
07 34.1	-20 29	  10.0	1900	 7.40	     	  0.45	C0734-205	07 36 16.8	-20 35 44
07 34.3	-14 22	  29.0	 480	 7.89	     	  0.07	C0734-143	07 36 36.0	-14 28 45
07 34.4	-23 14	   0.7	    	     	     	      	C0734-232	07 36 31.4	-23 20 46
07 34.6	-20 22	   9.0	    	     	     	      	C0734-203	07 36 47.0	-20 28 46
07 34.8	-13 44	  19.0	 870	 8.55	-0.04	  0.12	C0734-137	07 37 06.8	-13 50 47
07 34.9	-15 31	  10.0	    	     	     	      	C0734-155	07 37 10.7	-15 37 48
07 35.4	-26 28	  18.0	    	     	     	      	C0735-264	07 37 27.3	-26 34 49
07 35.2	-11 56	   9.0	2800	 8.62	-0.29	  0.00	C0735-119	07 37 32.8	-12 02 49
07 36.0	-14 44	   3.3	    	     	     	      	C0736-147	07 38 17.7	-14 50 52
07 35.5	+21 41	  10.0	2300	 9.60	-0.61	  0.00	C0735+216	07 38 27.9	+21 34 08
07 36.0	-10 33	   9.0	    	     	     	      	C0736-105	07 38 22.3	-10 39 52
07 37.5	-30 48	   4.0	    	     	     	      	C0737-308	07 39 27.4	-30 54 58
07 36.9	-10 25	   2.0	    	     	     	      	C0736-104	07 39 16.5	-10 31 56
07 38.5	-29 59	  14.0	    	     	     	      	C0738-300	07 40 28.7	-30 06 02
07 38.7	-18 57	   7.0	    	     	     	      	C0738-189	07 40 54.9	-19 04 03
07 38.9	-31 31	  10.0	1610	 7.82	     	  0.24	C0738-315	07 40 50.5	-31 38 03
07 39.0	-24 12	   2.5	    	     	     	      	C0739-242	07 41 06.4	-24 19 04
07 39.0	-16 07	  14.0	    	     	     	      	C0739-161	07 41 16.2	-16 14 04
07 39.5	-14 41	  27.0	1410	 8.48	     	  0.05	C0739-147	07 41 47.8	-14 48 06
07 40.3	-31 20	   4.0	    	     	     	      	C0740-313	07 42 14.9	-31 27 09
07 40.9	-35 27	   2.0	    	     	     	      	C0740-354	07 42 44.7	-35 34 11
07 42.5	-23 44	  22.0	1100	 7.99	 0.00	  0.05	C0742-237	07 44 37.2	-23 51 18
07 42.8	-28 14	   3.8	    	     	     	      	C0742-282	07 44 49.4	-28 21 19
07 42.9	-25 23	   5.0	4100	 6.00	     	  0.34	C0742-254	07 44 59.2	-25 30 19
07 02.1	-19 39	   2.5	    	     	     	      	C0702-196	07 04 16.7	-19 43 33
07 43.6	-37 50	  45.0	 220	 7.56	-0.45	  0.04	C0743-378	07 45 23.0	-37 57 21
07 43.6	-21 48	   6.0	    	     	     	      	C0743-218	07 45 45.7	-21 55 22
07 43.7	-20 15	   4.0	    	     	     	      	C0743-202	07 45 53.5	-20 22 22
07 44.2	-31 07	   0.8	    	     	     	      	C0744-311	07 46 09.5	-31 14 24
07 44.2	-04 28	  12.0	    	     	     	      	C0744-044	07 46 41.0	-04 35 25
07 45.7	-27 06	   5.0	1500	 7.60	     	  0.46	C0745-271	07 47 45.1	-27 13 30
07 46.4	-26 09	   4.0	    	 8.30	     	      	C0746-261	07 48 28.4	-26 16 33
07 46.6	-25 45	   1.0	    	     	     	      	C0746-257	07 48 40.9	-25 52 34
07 46.8	-21 09	   7.0	    	     	     	      	C0746-211	07 48 58.6	-21 16 35
07 47.6	-17 08	   0.8	    	     	     	      	C0747-171	07 49 51.3	-17 15 38
07 48.2	-25 18	   1.1	3900	 7.40	     	  0.18	C0748-253	07 50 17.6	-25 25 40
07 48.4	-29 41	   3.0	    	     	     	      	C0748-297	07 50 23.8	-29 48 40
07 48.4	-20 03	   6.0	    	     	     	      	C0748-200	07 50 36.0	-20 10 41
07 49.8	-31 42	   1.6	    	     	     	      	C0749-317	07 51 45.1	-31 49 46
07 50.0	-22 19	   1.5	    	     	     	      	C0750-223	07 52 09.4	-22 26 47
07 50.5	-38 24	  27.0	1300	 8.85	 0.04	  0.29	C0750-384	07 52 16.8	-38 31 48
07 50.5	-26 14	  15.0	3400	 6.00	     	  0.38	C0750-263	07 52 34.5	-26 21 49
07 50.4	-26 13	   1.0	6900	 6.00	     	      	C0750-262	07 52 28.6	-26 20 48
06 31.5	+08 07	      	1300	     	     	  0.37	C0631+081	06 34 13.1	+08 04 37
07 50.6	-26 06	   1.8	6900	 6.80	     	      	C0750-261	07 52 40.7	-26 13 49
07 31.2	-20 22	   3.5	    	     	     	      	C0731-203	07 33 22.8	-20 28 33
07 51.8	-26 50	   1.1	    	     	     	      	C0751-268	07 53 51.9	-26 57 54
07 52.8	-38 07	   1.7	    	     	     	      	C0752-381	07 54 35.5	-38 14 57
16 43.6	+38 22	  17.0	    	     	     	      	C1643+383	16 45 19.8	+38 16 36
07 52.8	-24 09	  12.0	 800	 8.60	 0.12	  0.03	C0752-241	07 54 55.3	-24 16 58
07 52.8	-17 34	   7.0	    	     	     	      	C0752-175	07 55 03.1	-17 41 58
07 53.2	-25 47	   5.0	2200	 7.80	     	  0.24	C0753-258	07 55 17.3	-25 54 59
07 54.2	-29 55	   8.0	1200	 8.38	     	  0.34	C0754-299	07 56 12.0	-30 03 03
07 54.3	-30 15	   1.8	    	 8.30	     	      	C0754-302	07 56 17.5	-30 23 03
07 55.5	-25 44	   1.5	    	     	     	      	C0755-257	07 57 35.5	-25 52 08
07 57.5	-60 43	  29.0	 440	 8.03	-0.23	  0.09	C0757-607	07 58 19.7	-60 51 13
07 56.7	-28 46	  13.0	    	     	     	      	C0756-287	07 58 43.7	-28 54 12
07 57.0	-28 26	   5.0	4600	 6.00	     	  0.67	C0757-284	07 59 02.2	-28 34 14
07 57.3	-16 09	  11.0	    	     	     	      	C0757-161	07 59 34.8	-16 17 15
07 57.8	-10 38	   6.0	2750	 9.53	-0.55	  0.09	C0757-106	08 00 10.8	-10 46 17
07 58.2	-30 06	   2.8	    	     	     	      	C0758-301	08 00 12.0	-30 14 18
07 58.5	-18 55	   8.0	    	     	     	      	C0758-189	08 00 43.8	-19 03 20
07 59.1	-27 01	   1.1	    	 8.50	     	      	C0759-270	08 01 10.2	-27 09 22
08 00.1	-44 15	   0.6	    	     	     	      	C0800-442	08 01 43.4	-44 23 25
07 59.9	-19 19	   2.0	    	 9.50	-0.20	      	C0759-193	08 02 07.4	-19 27 25
08 00.3	-30 57	   5.0	    	 7.80	     	      	C0800-309	08 02 17.1	-31 05 26
08 00.9	-31 52	   2.0	    	     	     	      	C0800-318	08 02 51.8	-32 00 28
08 01.0	-26 38	   2.5	    	     	     	      	C0801-266	08 03 04.8	-26 46 29
08 02.0	-46 07	 369.0	 330	     	     	  0.09	C0802-461	08 03 33.8	-46 15 32
08 01.4	-30 44	   3.5	    	     	     	      	C0801-307	08 03 23.4	-30 52 30
08 01.6	-30 29	   4.5	    	     	     	      	C0801-305	08 03 35.8	-30 37 31
08 03.0	-31 38	   2.0	    	     	     	      	C0803-316	08 04 58.4	-31 46 36
08 03.1	-31 48	   2.5	    	     	     	      	C0803-318	08 05 04.1	-31 56 37
08 03.2	-28 00	  22.0	 600	 9.00	 0.00	  0.09	C0803-280	08 05 15.2	-28 08 37
08 05.0	-29 44	   3.5	1700	 8.26	     	  0.25	C0805-297	08 07 01.1	-29 52 44
08 08.4	-12 40	  21.0	1280	 8.82	-0.20	  0.10	C0808-126	08 10 45.0	-12 48 57
08 09.2	-49 06	  20.0	 400	 7.76	-0.13	  0.02	C0809-491	08 10 40.5	-49 14 58
08 08.7	-26 51	  18.0	    	     	     	      	C0808-268	08 10 47.1	-26 59 58
08 09.3	-31 47	   2.5	    	     	     	      	C0809-318	08 11 16.7	-31 56 00
08 10.3	-32 26	  17.0	4400	 6.00	     	  0.52	C0810-324	08 12 16.0	-32 35 03
08 10.6	-37 28	  40.0	1000	 7.62	 0.30	  0.10	C0810-374	08 12 26.6	-37 37 04
08 10.5	-27 43	   4.8	    	     	     	      	C0810-277	08 12 34.2	-27 52 04
08 10.8	-40 18	  41.0	    	     	     	      	C0810-403	08 12 34.0	-40 27 05
08 11.3	-05 38	  54.0	 610	 8.48	 0.10	  0.05	C0811-056	08 13 46.1	-05 47 08
08 12.7	-31 47	  10.0	    	     	     	      	C0812-318	08 14 41.1	-31 56 12
08 12.7	-26 49	   5.0	    	     	     	      	C0812-268	08 14 47.5	-26 58 12
08 13.4	-30 40	   6.0	    	     	     	      	C0813-306	08 15 24.6	-30 49 15
08 15.9	-36 55	   4.6	2400	 7.93	     	  0.50	C0815-369	08 17 46.1	-37 04 24
08 16.3	-41 27	   4.3	    	     	     	      	C0816-414	08 18 02.8	-41 36 25
08 16.6	-30 28	  10.0	1700	 7.83	 0.20	  0.22	C0816-304	08 18 37.2	-30 37 26
08 16.9	-29 34	  13.0	2100	 7.35	 0.08	  0.30	C0816-295	08 18 56.4	-29 43 27
08 17.2	-34 17	   5.0	    	     	     	      	C0817-343	08 19 08.1	-34 26 28
08 19.2	-36 01	  10.0	1000	 7.10	     	  0.20	C0819-360	08 21 05.8	-36 10 35
08 19.6	-30 08	   7.0	    	     	     	      	C0819-301	08 21 37.9	-30 17 37
08 20.2	-35 59	   9.0	1500	 7.90	     	  0.20	C0820-360	08 22 06.0	-36 08 39
08 21.2	-32 48	   2.0	    	     	     	      	C0821-328	08 23 10.6	-32 57 43
08 21.4	-29 19	   9.0	    	     	     	      	C0821-293	08 23 27.1	-29 28 44
08 22.1	-28 58	   7.0	    	     	     	      	C0822-289	08 24 09.6	-29 07 46
08 22.9	-47 01	   6.0	    	     	     	      	C0822-470	08 24 29.5	-47 10 48
08 23.0	-33 59	   2.5	    	     	     	      	C0823-340	08 24 57.2	-34 08 49
08 27.5	-18 55	  17.0	    	     	     	      	C0827-189	08 29 45.4	-19 05 05
08 29.1	-38 29	   6.0	    	     	     	      	C0829-385	08 30 57.5	-38 39 10
08 31.1	-48 07	   5.0	    	     	     	      	C0831-481	08 32 40.8	-48 17 17
08 30.3	-19 28	   6.0	    	     	     	      	C0830-194	08 32 33.0	-19 38 15
08 32.8	-44 05	  18.0	 600	 7.40	     	  0.02	C0832-441	08 34 30.9	-44 15 23
08 35.2	-29 45	  11.0	    	     	     	      	C0835-297	08 37 16.0	-29 55 32
08 35.6	-39 54	  66.0	    	     	     	      	C0835-399	08 37 26.3	-40 04 33
08 35.9	-39 23	   2.0	    	     	     	      	C0835-394	08 37 45.1	-39 33 34
08 36.5	-34 34	   3.0	    	     	     	      	C0836-345	08 38 28.0	-34 44 36
08 37.4	-43 50	  11.0	    	     	     	      	C0837-438	08 39 08.1	-44 00 39
08 37.6	-46 01	   1.5	1600	 7.50	     	  0.38	C0837-460	08 39 16.2	-46 11 39
08 37.2	+20 10	  95.0	 180	 8.82	 0.07	  0.00	C0837+201	08 40 04.5	+19 59 20
08 38.8	-52 52	  49.0	 140	 7.56	-0.04	  0.03	C0838-528	08 40 13.8	-53 02 43
08 38.6	-37 52	   2.0	    	     	     	      	C0838-378	08 40 29.7	-38 02 43
08 39.2	-38 29	   2.5	    	     	     	      	C0839-385	08 41 04.9	-38 39 45
08 39.5	-48 00	   7.0	 850	 7.20	     	  0.12	C0839-480	08 41 06.8	-48 10 45
08 39.8	-46 05	   2.0	1400	 7.50	     	  0.71	C0839-461	08 41 28.5	-46 15 46
08 40.0	-43 11	   5.0	    	 7.80	     	      	C0840-432	08 41 45.7	-43 21 47
08 40.6	-46 57	   4.0	2100	 9.20	 0.06	  0.35	C0840-469	08 42 15.1	-47 07 49
08 40.9	-44 45	   2.7	1450	     	     	      	C0840-447	08 42 37.2	-44 55 50
08 41.4	-32 27	  12.0	    	     	     	      	C0841-324	08 43 25.4	-32 37 52
08 43.0	-47 24	   2.2	    	     	     	      	C0843-474	08 44 38.7	-47 34 57
08 42.9	-41 10	  17.0	1000	 6.80	     	  0.56	C0842-411	08 44 43.5	-41 20 57
08 42.5	-35 44	  10.0	    	     	     	      	C0842-357	08 44 27.3	-35 54 56
08 43.4	-52 46	  12.0	1000	 7.80	     	  0.18	C0843-527	08 44 51.2	-52 56 58
08 43.0	-31 26	   5.0	    	     	     	      	C0843-314	08 45 02.8	-31 36 58
08 43.3	-31 34	   5.0	    	     	     	      	C0843-315	08 45 20.7	-31 44 59
08 43.9	-48 35	   9.0	1000	 7.98	     	  0.46	C0843-486	08 45 30.5	-48 46 00
08 44.4	-41 41	   4.0	    	     	     	      	C0844-417	08 46 12.9	-41 52 02
08 38.7	-45 57	   2.2	1900	 7.50	     	      	C0838-459	08 40 22.6	-46 07 43
08 46.0	-42 17	  14.0	 380	 7.67	-0.08	  0.04	C0846-423	08 47 48.2	-42 28 07
08 47.4	-46 38	   5.0	    	     	     	      	C0847-466	08 49 05.0	-46 49 12
08 47.8	-46 36	   6.0	    	     	     	      	C0847-465	08 49 29.2	-46 47 13
08 47.7	+12 00	  29.0	 720	 9.60	-0.10	  0.05	C0847+120	08 50 26.2	+11 48 46
08 50.2	-37 24	   1.4	    	     	     	      	C0850-374	08 52 08.1	-37 35 21
08 50.4	-37 22	   2.5	    	     	     	      	C0850-373	08 52 20.2	-37 33 22
08 58.9	-48 46	   2.0	1600	 6.00	     	  0.74	C0858-487	09 00 33.6	-48 57 48
11 40.0	-62 12	      	    	     	     	      	C1140-622	11 42 23.3	-62 28 39
08 59.7	-50 43	   3.6	    	     	     	      	C0859-507	09 01 17.9	-50 54 50
08 55.5	-47 34	      	1700	 6.73	     	      	C0855-475	08 57 11.1	-47 45 37
09 14.0	-36 23	   9.0	3200	 9.00	     	  0.21	C0914-364	09 16 01.2	-36 35 34
09 15.0	-49 30	   2.0	    	     	     	      	C0915-495	09 16 42.2	-49 42 36
09 17.4	-40 19	   2.3	    	     	     	      	C0917-403	09 19 20.8	-40 31 43
09 18.1	-44 54	   4.5	    	     	     	      	C0918-449	09 19 56.6	-45 06 45
09 19.0	-60 10	   0.7	    	     	     	      	C0919-601	09 20 18.4	-60 22 47
09 19.0	-36 50	   2.2	    	     	     	      	C0919-368	09 21 01.4	-37 02 48
09 20.7	-56 03	   4.0	    	     	     	      	C0920-560	09 22 12.2	-56 15 52
09 20.6	-50 54	   2.0	2600	 7.80	     	  0.64	C0920-509	09 22 17.1	-51 06 52
09 22.5	-51 30	   5.0	    	 8.30	     	      	C0922-515	09 24 10.5	-51 42 57
09 25.5	-54 53	   2.0	5200	     	     	      	C0925-549	09 27 04.4	-55 06 05
09 26.1	-56 45	  14.0	    	     	     	      	C0926-567	09 27 36.3	-56 58 07
09 27.6	-53 26	   0.6	3500	     	     	      	C0927-534	09 29 14.2	-53 39 11
09 27.6	-52 29	   0.6	    	     	     	      	C0927-525	09 29 16.1	-52 42 11
09 28.7	-52 40	   5.0	1320	 7.60	     	  0.08	C0928-526	09 30 22.0	-52 53 14
09 32.0	-53 12	  12.0	 810	 7.90	     	  0.05	C0932-532	09 33 40.0	-53 25 23
09 32.9	-47 53	   4.5	    	     	     	      	C0932-479	09 34 43.6	-48 06 25
09 38.5	-50 05	   4.0	1200	 8.60	     	  0.33	C0938-501	09 40 17.6	-50 18 40
09 31.0	-56 05	  10.0	3870	     	     	  0.65	C0931-561	09 32 33.6	-56 18 20
09 39.3	-53 35	  11.0	1370	 7.10	     	  0.79	C0939-536	09 40 59.6	-53 48 42
09 40.3	-43 47	  12.0	    	     	     	      	C0940-438	09 42 15.2	-44 00 44
09 43.5	-43 53	   5.0	    	     	     	      	C0943-439	09 45 27.8	-44 06 52
09 43.9	-53 44	   3.6	2500	     	     	      	C0943-537	09 45 36.8	-53 57 53
09 47.1	-56 10	   5.0	1100	 8.60	     	  0.58	C0947-561	09 48 45.2	-56 24 01
09 47.5	-54 19	   3.4	2240	     	     	      	C0947-543	09 49 13.0	-54 33 02
